year,rating,min_total_score,min_avg_score,description
1978,Masterpiece,45,7.5,An absolute masterpiece! This game will be remembered for decades!
1978,Legendary,42,7.0,A legendary achievement in game development!
1978,Outstanding,39,6.5,Outstanding work! This game sets new standards!
1978,Excellent,36,6.0,Excellent game that will be highly praised!
1978,Notable,33,5.5,A notable release that will get attention!
1978,Good,30,5.0,A good solid game that players will enjoy!
1978,Fun,27,4.5,A fun game that will find its audience!
1978,Decent,24,4.0,A decent effort with some good moments.
1978,Meh,21,3.5,Meh... It's playable but forgettable.
1978,Poor,0,0.0,Poor execution. Back to the drawing board.
1980,Masterpiece,56,9.3,An absolute masterpiece! This game will be remembered for decades!
1980,Legendary,52,8.7,A legendary achievement in game development!
1980,Outstanding,49,8.2,Outstanding work! This game sets new standards!
1980,Excellent,45,7.5,Excellent game that will be highly praised!
1980,Notable,41,6.8,A notable release that will get attention!
1980,Good,38,6.3,A good solid game that players will enjoy!
1980,Fun,34,5.7,A fun game that will find its audience!
1980,Decent,30,5.0,A decent effort with some good moments.
1980,Meh,26,4.3,Meh... It's playable but forgettable.
1980,Poor,0,0.0,Poor execution. Back to the drawing board.
1982,Masterpiece,70,11.7,An absolute masterpiece! This game will be remembered for decades!
1982,Legendary,66,11.0,A legendary achievement in game development!
1982,Outstanding,61,10.2,Outstanding work! This game sets new standards!
1982,Excellent,56,9.3,Excellent game that will be highly praised!
1982,Notable,52,8.7,A notable release that will get attention!
1982,Good,47,7.8,A good solid game that players will enjoy!
1982,Fun,42,7.0,A fun game that will find its audience!
1982,Decent,38,6.3,A decent effort with some good moments.
1982,Meh,33,5.5,Meh... It's playable but forgettable.
1982,Poor,0,0.0,Poor execution. Back to the drawing board.
1984,Masterpiece,88,14.7,An absolute masterpiece! This game will be remembered for decades!
1984,Legendary,82,13.7,A legendary achievement in game development!
1984,Outstanding,76,12.7,Outstanding work! This game sets new standards!
1984,Excellent,70,11.7,Excellent game that will be highly praised!
1984,Notable,64,10.7,A notable release that will get attention!
1984,Good,59,9.8,A good solid game that players will enjoy!
1984,Fun,53,8.8,A fun game that will find its audience!
1984,Decent,47,7.8,A decent effort with some good moments.
1984,Meh,41,6.8,Meh... It's playable but forgettable.
1984,Poor,0,0.0,Poor execution. Back to the drawing board.
1986,Masterpiece,110,18.3,An absolute masterpiece! This game will be remembered for decades!
1986,Legendary,103,17.2,A legendary achievement in game development!
1986,Outstanding,95,15.8,Outstanding work! This game sets new standards!
1986,Excellent,88,14.7,Excellent game that will be highly praised!
1986,Notable,81,13.5,A notable release that will get attention!
1986,Good,73,12.2,A good solid game that players will enjoy!
1986,Fun,66,11.0,A fun game that will find its audience!
1986,Decent,59,9.8,A decent effort with some good moments.
