year,rating,min_total_score,min_avg_score,description
1984,Masterpiece,180,30.0,An absolute masterpiece! This game will be remembered for decades!
1984,Legendary,165,27.5,A legendary achievement in game development!
1984,Outstanding,150,25.0,Outstanding work! This game sets new standards!
1984,Excellent,135,22.5,Excellent game that will be highly praised!
1984,Notable,120,20.0,A notable release that will get attention!
1984,Good,105,17.5,A good solid game that players will enjoy!
1984,Fun,90,15.0,A fun game that will find its audience!
1984,Decent,75,12.5,A decent effort with some good moments.
1984,Meh,60,10.0,Meh... It's playable but forgettable.
1984,Poor,0,0.0,Poor execution. Back to the drawing board.
1986,Masterpiece,185,30.8,An absolute masterpiece! This game will be remembered for decades!
1986,Legendary,170,28.3,A legendary achievement in game development!
1986,Outstanding,155,25.8,Outstanding work! This game sets new standards!
1986,Excellent,140,23.3,Excellent game that will be highly praised!
1986,Notable,125,20.8,A notable release that will get attention!
1986,Good,110,18.3,A good solid game that players will enjoy!
1986,Fun,95,15.8,A fun game that will find its audience!
1986,Decent,80,13.3,A decent effort with some good moments.
1986,Meh,65,10.8,Meh... It's playable but forgettable.
1986,Poor,0,0.0,Poor execution. Back to the drawing board.
1988,Masterpiece,190,31.7,An absolute masterpiece! This game will be remembered for decades!
1988,Legendary,175,29.2,A legendary achievement in game development!
1988,Outstanding,160,26.7,Outstanding work! This game sets new standards!
1988,Excellent,145,24.2,Excellent game that will be highly praised!
1988,Notable,130,21.7,A notable release that will get attention!
1988,Good,115,19.2,A good solid game that players will enjoy!
1988,Fun,100,16.7,A fun game that will find its audience!
1988,Decent,85,14.2,A decent effort with some good moments.
1988,Meh,70,11.7,Meh... It's playable but forgettable.
1988,Poor,0,0.0,Poor execution. Back to the drawing board.
1990,Masterpiece,195,32.5,An absolute masterpiece! This game will be remembered for decades!
1990,Legendary,180,30.0,A legendary achievement in game development!
1990,Outstanding,165,27.5,Outstanding work! This game sets new standards!
1990,Excellent,150,25.0,Excellent game that will be highly praised!
1990,Notable,135,22.5,A notable release that will get attention!
1990,Good,120,20.0,A good solid game that players will enjoy!
1990,Fun,105,17.5,A fun game that will find its audience!
1990,Decent,90,15.0,A decent effort with some good moments.
1990,Meh,75,12.5,Meh... It's playable but forgettable.
1990,Poor,0,0.0,Poor execution. Back to the drawing board.
1992,Masterpiece,200,33.3,An absolute masterpiece! This game will be remembered for decades!
1992,Legendary,185,30.8,A legendary achievement in game development!
1992,Outstanding,170,28.3,Outstanding work! This game sets new standards!
1992,Excellent,155,25.8,Excellent game that will be highly praised!
1992,Notable,140,23.3,A notable release that will get attention!
1992,Good,125,20.8,A good solid game that players will enjoy!
1992,Fun,110,18.3,A fun game that will find its audience!
1992,Decent,95,15.8,A decent effort with some good moments.
1992,Meh,80,13.3,Meh... It's playable but forgettable.
1992,Poor,0,0.0,Poor execution. Back to the drawing board.
1994,Masterpiece,205,34.2,An absolute masterpiece! This game will be remembered for decades!
1994,Legendary,190,31.7,A legendary achievement in game development!
1994,Outstanding,175,29.2,Outstanding work! This game sets new standards!
1994,Excellent,160,26.7,Excellent game that will be highly praised!
1994,Notable,145,24.2,A notable release that will get attention!
1994,Good,130,21.7,A good solid game that players will enjoy!
1994,Fun,115,19.2,A fun game that will find its audience!
1994,Decent,100,16.7,A decent effort with some good moments.
1994,Meh,85,14.2,Meh... It's playable but forgettable.
1994,Poor,0,0.0,Poor execution. Back to the drawing board.
1996,Masterpiece,210,35.0,An absolute masterpiece! This game will be remembered for decades!
1996,Legendary,195,32.5,A legendary achievement in game development!
1996,Outstanding,180,30.0,Outstanding work! This game sets new standards!
1996,Excellent,165,27.5,Excellent game that will be highly praised!
1996,Notable,150,25.0,A notable release that will get attention!
1996,Good,135,22.5,A good solid game that players will enjoy!
1996,Fun,120,20.0,A fun game that will find its audience!
1996,Decent,105,17.5,A decent effort with some good moments.
1996,Meh,90,15.0,Meh... It's playable but forgettable.
1996,Poor,0,0.0,Poor execution. Back to the drawing board.
1998,Masterpiece,215,35.8,An absolute masterpiece! This game will be remembered for decades!
1998,Legendary,200,33.3,A legendary achievement in game development!
1998,Outstanding,185,30.8,Outstanding work! This game sets new standards!
